ArabidopsisGeneID, CottonGeneID, Identity%, Similarity%
>AT1G07390.3,>GhA03G106700,23.4%,35.4%
>AT1G07390.3,>GhD01G046100,23.5%,36.5%
>AT1G07390.3,>GhA02G156900,26.7%,41.2%
>AT1G07390.3,>GhA02G180200, 7.2%,10.1%
>AT1G07390.3,>GhD06G224500,33.3%,47.3%
>AT1G07390.3,>GhA03G076200,27.6%,40.1%
>AT1G07390.3,>GhA03G127200, 6.7%,10.9%
>AT1G07390.3,>GhA04G007800,24.7%,35.4%
>AT1G07390.3,>GhD01G092200,25.4%,37.4%
>AT1G07390.3,>GhA04G008400,26.0%,39.1%
>AT1G07390.3,>GhD05G389300,24.8%,37.2%
>AT1G07390.3,>GhD05G398200,26.1%,37.1%
>AT1G07390.3,>GhA04G129800,22.8%,33.8%
>AT1G07390.3,>GhD04G025800,19.8%,30.7%
>AT1G07390.3,>GhA05G008200,26.2%,37.1%
>AT1G07390.3,>GhA05G397500,20.6%,31.6%
>AT1G07390.3,>GhD11G221500, 7.7%,10.8%
>AT1G07390.3,>GhD09G178000,24.5%,36.0%
>AT1G07390.3,>GhA06G196800,27.5%,38.9%
>AT1G07390.3,>GhD08G020700,27.1%,38.8%
>AT1G07390.3,>GhD08G021100,27.2%,39.6%
>AT1G07390.3,>GhA07G164200,13.6%,19.4%
>AT1G07390.3,>GhD08G025300,28.3%,40.4%
>AT1G07390.3,>GhA07G194800,26.6%,39.9%
>AT1G07390.3,>GhD08G025400,27.2%,38.0%
>AT1G07390.3,>GhA08G025800,24.1%,34.6%
>AT1G07390.3,>GhD13G171600,26.7%,38.0%
>AT1G07390.3,>GhA08G245600,26.6%,40.8%
>AT1G07390.3,>GhD10G132600,32.7%,46.5%
>AT1G07390.3,>GhA09G028900, 8.3%,12.4%
>AT1G07390.3,>GhD10G132400,31.3%,46.8%
>AT1G07390.3,>GhA09G136100,21.8%,30.9%
>AT1G07390.3,>GhD03G032100, 7.2%,10.2%
>AT1G07390.3,>GhA10G027700,11.6%,18.8%
>AT1G07390.3,>GhD11G337700,27.0%,40.6%
>AT1G07390.3,>GhA10G140000,30.4%,44.6%
>AT1G07390.3,>GhD04G169800,22.7%,33.8%
>AT1G07390.3,>GhD05G346300,27.1%,36.8%
>AT1G07390.3,>GhA11G075300,16.2%,25.5%
>AT1G07390.3,>GhA11G229300, 7.7%,10.9%
>AT1G07390.3,>GhD08G236900,27.0%,41.1%
>AT1G07390.3,>GhA11G292000,22.5%,34.5%
>AT1G07390.3,>GhD05G388100,25.0%,37.0%
>AT1G07390.3,>GhA12G092200, 7.7%,10.4%
>AT1G07390.3,>GhD07G163000,11.1%,17.2%
>AT1G07390.3,>GhD07G095200,26.8%,40.3%
>AT1G07390.3,>GhD13G060700, 7.7%,10.9%
>AT1G07390.3,>GhD03G057700,26.9%,40.6%
>AT1G07390.3,>GhD13G232900,31.5%,45.0%
>AT1G07390.3,>GhD10G173100,26.7%,42.1%
>AT1G07390.3,>GhD06G069300,17.2%,24.1%
>AT1G07390.3,>GhD12G090600, 7.7%,10.5%
>AT1G07390.3,>GhD06G155600,12.2%,19.5%
>AT1G07390.3,>GhD02G148100, 6.7%,10.4%
>AT1G07390.3,>GhD02G148100, 6.7%,10.4%
>AT1G07390.3,>GhD01G245400,27.2%,39.2%
>AT1G07390.3,>GhD01G245500,24.7%,37.9%
>AT1G07390.3,>GhA11G283800,24.9%,37.7%
>AT1G07390.3,>GhD11G338300,26.9%,40.7%
>AT1G07390.3,>GhD11G338200,26.5%,40.9%
>AT1G07390.3,>GhA13G063200,23.7%,34.1%
>AT1G07390.3,>GhD09G026100, 8.5%,12.5%
>AT1G07390.3,>GhD05G013900,30.6%,45.0%
>AT1G07390.3,>GhA01G050700,20.3%,30.3%
>AT1G07390.3,>GhD02G027900,26.3%,39.1%
>AT1G07390.3,>GhD02G027800,25.0%,37.8%
>AT1G07390.3,>GhD11G075500,16.3%,23.8%
>AT1G07390.3,>GhA10G123000,25.4%,37.7%
>AT1G07390.3,>GhA01G256300,24.4%,36.8%
>AT1G07390.3,>GhD05G336900,27.1%,39.8%
>AT1G07390.3,>GhA10G135100,28.7%,41.9%
>AT1G07390.3,>GhA01G256200,23.7%,35.6%
>AT1G07390.3,>GhD04G152700,15.1%,21.0%
>AT1G07390.3,>GhA04G049100,26.8%,38.7%
>AT1G07390.3,>GhD08G020800,27.4%,39.6%
>AT1G07390.3,>GhA04G113800,24.3%,37.9%
>AT1G07390.3,>GhA04G049500,28.1%,39.5%
>AT1G07390.3,>GhD02G031400,23.3%,32.8%
>AT1G07390.3,>GhD04G152900,24.2%,36.3%
>AT1G07390.3,>GhD02G031600,32.7%,47.2%
>AT1G07390.3,>GhD05G397000,23.4%,33.3%
